Nombre,Tipo de Facilidad,Numero de Lic,Dueño o Control,Tipo de Acreditacion/numero,Direccion,Telefono,Pueblo,Numero de Estaciones,Capacidad de Camamas Autorizadas,Capacidad de Camas en Uso
"SPS SPECIALTY PHARMACY SERVICES, INC.",Agencias de salud en el Hogar,26,Privado - Lucrativo - Corporación,Medicare,Urbanización Caguax C-7Avenida Luis Muñoz Marín,Teléfono: 787-704-2025,Pueblo: Caguas,,,
ATENCION MEDICA EN EL HOGAR - CAGUAS - 89-06-124,Agencias de salud en el Hogar,6,Privado - No Lucrativo - Corporacion,Medicare,"Villa Turabo, Calle Ciprés K1 - A,",Teléfono: 787-743-1121,Pueblo: Caguas,,,
PROGRAMA DE SERVICIOS DE SALUD EN EL HOGAR SAN LUCAS DE CAGUAS,Agencias de salud en el Hogar,33,Privado - No Lucrativo - Iglesia,Medicare / 40-7311,"Calle E, Zona Industrial Villa Blanca",Teléfono: 787-743-4814,Pueblo: Caguas,,,
SERVICIOS DE SALUD EN EL HOGAR EL NAZARENO (SUB-UNIDAD DE FAJARDO) - FAJARDO - 78-06-269,Agencias de salud en el Hogar,11,Privado - Lucrativo - Corporación,Medicare,"East Medical & Professional Center, Carr. Núm. 3, Km. 19.9",Teléfono: 787-863-0656,Pueblo: Canóvanas,,,
ESTANCIA HOME CARE AN AMEDISYS COMPANY - CAROLINA - 03-06-061,Agencias de salud en el Hogar,50,Privado - Lucrativo - Corporación,Medicare,"Ave. Sánchez Osorio, Esquina Parque Florido 5X37",Teléfono: 787-762-0889,Pueblo: Carolina,,,
Advanced Home Care Services West - Región Noreste 12-06-020,Agencias de salud en el Hogar,40,Privado - Lucrativo - Corporación,,"Carr. 869, Urb. Palmas ndustrial Park, Calle 19, Bo. Palmas",,Pueblo: Cataño,,,
ADVANCED INFUSION SERVICES,Agencias de salud en el Hogar,25,Privado - Lucrativo - Corporación,,Carr. 869 calle 19 Km 2.0 Solar 1 Urb Palmas Industrial Park,Teléfono:787-783-2245,Pueblo: Cataño,,,
"AMERICARE HOMEHEALTH SERVICES, INC.",Agencias de salud en el Hogar,15,Privado - Lucrativo - Corporación,Medicare,Ave. Lauro Piñero #257 2do. piso,Teléfono: 787-885-2777,Pueblo: Ceiba,,,
SERVICIOS DE SALUD EN EL HOGAR HOSPICIO - COROZAL - 96-06-017,Agencias de salud en el Hogar,2,Privado - No Lucrativo - Corporación,"Medicare, Medicaid, JCAHO","Carr.159, km 18.8 - Bo. Mavilla",Teléfono: 787-859-5755,Pueblo: Corozal,,,
"OPTIMA INFUSION PHARMACY, INC.",Agencias de salud en el Hogar,29,Privado - Lucrativo - Corporación,Medicare,Carr. #2 Bo. Espinosa Km 26.2,Teléfono:787-883-5959,Pueblo: Dorado,,,
"ANGELES VISITANTES,INC",Agencias de salud en el Hogar,19,Privado - Lucrativo - Corporación,Medicare,"Comercio Plaza Carr. Estatal 54, Int. PR #3",,Pueblo: Guayama,,,
M-CARE COMPOUNDING PHARMACY,Agencias de salud en el Hogar,34,Privado - Lucrativo - Corporación,"Medicare, Medicaid",Ave. Esmeralda 198,Teléfono: 787-790-0680,Pueblo: Guaynabo,,,
NOVA INFUSION,Agencias de salud en el Hogar,28,Privado - No Lucrativo - Corporacion,,"Ave. Las Cumbres, Carr PR 199 Esq Camino Alejandrino",Teléfono: 787-720-1000,Pueblo: Guaynabo,,,
METRO PAVIA @ HOME - GUAYNABO - 89-06-132,Agencias de salud en el Hogar,12,Privado - No Lucrativo - Corporacion,Medicare ,"Calle Union Num 5, Piedras Blancas, Bo Frailes",Teléfono: 787-720-9351,Pueblo: Guaynabo,,,
WOMEN & PRENATAL CARE OF PUERTO RICO INC.,Agencias de salud en el Hogar,4,Privado - Lucrativo - Corporación,,DEL PARQUE ST. 607 A,Teléfono: (787)982-0088,Pueblo: San Juan,,,
HUELLITAS DE AMOR PEDIATRIC HOME CARE - REGION ESTE - 01-06-121,Agencias de salud en el Hogar,48,Privado - Lucrativo - Corporación,,"Carr. 189 K6.4, Marina Plaza Local #17",Teléfono: 787-633-5163,Pueblo: Gurabo,,,
"CONDADO HOME CARE PROGRAM, INC. - Región Noreste y Metropolitana 94-06-135",Agencias de salud en el Hogar,10,Privado - Lucrativo - Corporación,Medicare / 40-7011,"Urb. Floral Park 186, Calle Duarte",Teléfono: 787-758-8180,Pueblo: San Juan,,,
"ASOCIACION DE ENFERMERIA VISITANTE GREGORIA AUFFANT, INC A-89-06-072 HATO REY",Agencias de salud en el Hogar,31,Privado - No Lucrativo - Corporacion,Medicare,"Ave. Eleanor Roosevelt Num 114, 2do. Piso San Juan PR 00918-3105",Teléfono: 787-759-7036,Pueblo: San Juan,,,
SALUD FAMILIAR EN EL HOGAR - HOME CARE- HATO REY - 93-06-083,Agencias de salud en el Hogar,20,Privado - No Lucrativo - Corporacion,Medicare,Calle Alverio Num 363,Teléfono: 787-777-3010,Pueblo: San Juan,,,
SERVICIOS DE SALUD EN EL HOGAR DEL HOSPITAL RYDER - HUMACAO - 78-06-188,Agencias de salud en el Hogar,5,Privado - No Lucrativo - Comunidad,"Medicare, JCAHO",Hospital Ryder Memorial,Teléfono: 787-852-2869,Pueblo: Humacao,,,
METRO PAVIA @ HOME - HUMACAO -85-06-046,Agencias de salud en el Hogar,14,Privado - Lucrativo  - Corporacion,"Medicare, Medicaid","Carr. 924, km 1.7, Bo Collores Sector Pitahaya",Teléfono: 787-852-3785,Pueblo: Humacao,,,
"SERVICIOS DE SALUD EN EL HOGAR LUZ DE ESPERANZA, INC. MANATI 98-06-023",Agencias de salud en el Hogar,1,Privado - Lucrativo - Corporación,"Medicare, Medicaid","Calle Félix Córdova Dávila Núm. 13,",Teléfono: 787-884-2857,Pueblo: Manatí,,,
"PROGRAMA DE SERVICIOS DE LA CORPORACION DE LAS VEGAS, INC. - MANATI - 78-06-194",Agencias de salud en el Hogar,13,Privado - Lucrativo - Corporación,"Medicare, JCAHO","Carr. Estatal Núm. 2, Km. 46.4, Bo. Campo Alegre",Teléfono: 787-854-1426,Pueblo: Manatí,,,
FIRST HOME CARE CENTER - MAYAGUEZ -84-06-122,Agencias de salud en el Hogar,16,Privado - No Lucrativo - Corporacion,"Medicare, Medicaid",Calle McKinley 96-Oeste,Teléfono: 787-834-2295,Pueblo: Mayagüez,,,
PROG. SALUD EN EL HOGAR SAN LUCAS MAYAGUEZ,Agencias de salud en el Hogar,43,Privado - No Lucrativo - iglesia,Medicare,Calle Mendez Vigo *98 Oeste,Teléfono: 787-833-8181,Pueblo: Mayagüez,,,
PROGRAMA DE SALUD EN EL HOGAR CUIDADO CASERO-MAYAGUEZ,Agencias de salud en el Hogar,36,Privado - Lucrativo - Corporación,"Medicare, Medicaid","Medical Center Plaza, Oficina 305, 306 y 308",Teléfono: 787-833-1985,Pueblo: Mayagüez,,,
SERVICIOS DE SALUD EN EL HOGAR HOSPITAL DR. PILA - PONCE - 80-06-664,Agencias de salud en el Hogar,3,Privado - Lucrativo - Corporación,"Medicare, Medicaid, JCAHO",Ave. Las Américas,,Pueblo: Ponce,,,
CMS Home Care Sur - PONCE - 09-06-026,Agencias de salud en el Hogar,0,Privado - Lucrativo - Corporación,,"Calle 2, Solar 25, Parque Industrial Sabanetas, Carr. 578, K",,Pueblo: Ponce,,,
IV HOME THERAPY - 99-06-050 - PONCE,Agencias de salud en el Hogar,51,Privado - Lucrativo - Corporación,Medicare,Calle Villa 152 - A,Teléfono: 787-842-6652,Pueblo: Ponce,,,
SERVICIOS DE SALUD EN EL HOGAR Y HOSPICIO SAN LUCAS (REGION SUR) - PONCE - 79-06-459,Agencias de salud en el Hogar,22,Privado - No Lucrativo- Iglesia,Medicare / 40-7002,"Edificio A, Piso 4 - Núm.917, Avenida Tito CastroHospital San Lucas II",Teléfono:,Pueblo: Ponce,,,
PROGRAMA DE SERVICIOS DE SALUD EN EL HOGAR HOSPITAL DAMAS - 77-06-019 -,Agencias de salud en el Hogar,9,Privado - No Lucrativo - Corporacion,Medicare / 40-7010,Calle Monterrey 286,Teléfono: (787) 840-8095,Pueblo: Ponce,,,
ANGELES DIVINOS HOME HEALTH CARE SERVICES - QUEBRADILLAS - 06-06-089,Agencias de salud en el Hogar,23,Privado - Lucrativo - Corporación,Medicare,"Carretera 2, Km. 102.2, Sector Camino Juan GonzálezBarrio Pueblo",Teléfono: 787-895-3665,Pueblo: Quebradillas,,,
ISLAND INFUSSION PHARMACY,Agencias de salud en el Hogar,27,Privado - Lucrativo - Corporación,"Medicare, JCAHO",Calle Arzuaga Num 108 Altos,Teléfono: 787-756-6959,Pueblo: San Juan,,,
ASOCIACION DE ENFERMERIA VISITANTE GREGORIA AUFFAN,Agencias de salud en el Hogar,44,Privado - No Lucrativo - Corporación,Medicare / 40-7326,Ave. Campo Rico Núm. 784 Country Club,Teléfono: 787-762-7666,Pueblo: San Juan,,,
PEDIATRIC HOME CARE SERVICES - GUAYNABO - 97-06-137,Agencias de salud en el Hogar,52,Privado - Lucrativo - Corporación,,"Calle Bori 1502, Urb. Antonsantti",,Pueblo: San Juan,,,
Home Health La Monserrate - Región Oeste 11-06-116,Agencias de salud en el Hogar,39,Privado - Lucrativo - Corporación,,"#100, Calle 5 de diciembre, Bo. Pueblo",,Pueblo: Sabana Grande,,,
Special Care Pharmacy Services Inc.,Agencias de salud en el Hogar,35,Privado - Lucrativo - Corporación,,Ave. Americo Miranda # 1210 Reparto Metropolitano,Teléfono: (787)783-8579,Pueblo: San Juan,,,
METRO PAVIA @ HOME - HATO REY - 8506-108,Agencias de salud en el Hogar,8,Privado - Lucrativo - Corporación,"Medicare, Medicaid, Salud 101","Ave. De Diego #580, Puerto Nuevo",Teléfono: 787-775-2325,Pueblo: San Juan,,,
"BEST OPTION HEALTCARE PUERTO RICO, INC. - SAN JUAN - 86-06-062",Agencias de salud en el Hogar,24,Privado - Lucrativo - Corporación,Medicaid,"Ave. De Diego Núm. 359, Suite 201",Teléfono: 787-282-0939,Pueblo: San Juan,,,
PROGRAMA DE SERVICIOS DE SALUD EN EL HOGAR SAN LUCAS DE TRUJILLO ALTO,Agencias de salud en el Hogar,32,Privado - No Lucrativo - Iglesia,Medicare / 40-7310,"Western Auto Plaza,Carr. 181, Km. 3.6, Bo Las Cuevas",Teléfono: 761-8315,Pueblo: Trujillo Alto,,,
NUEVA VIDA DE LA SALUD HOME CARE,Agencias de salud en el Hogar,37,Privado - Lucrativo - Corporacion,,CARR. 693 KM.14.3SECTOR BRENAS,Teléfono: (787)361-0357,Pueblo: Vega Alta,,,
SALUD EN EL HOGAR DEL CARIBE - Región Metropolitana - 91-06-096,Agencias de salud en el Hogar,21,Privado - No Lucrativo- Corporación,Medicare,Calle Benítez Castaño Núm. 20,Teléfono: 787-741-2061,Pueblo: Vieques,,,
"RAIBOW HOME, INC.",Casa de Salud,6,Privado - Lucrativo- Corporación,,Urb. Monte VistaCalle Igualdad C-2,Teléfono: (787) 860-8444,Pueblo: Fajardo,,,
"SNF CASA DE SALUD HOSP. RYDER MEMORIAL , INC.",Casa de Salud,2,Privado - No Lucrativo- Corporación,Medicare / 40-5018,AVE. FONT MARTELO NUM. 317,Teléfono: 787-852-0768,Pueblo: Humacao,,,
ST JUDE NURSING HOME CASA DE SALUD - RIO PIEDRAS,Casa de Salud,4,Privado - Lucrativo - Corporación,,"José Abad 1214, Urb. Club Manor",Teléfono: 787-776-3013,Pueblo: San Juan,,,
THE MILLENIUM INST. ADVANCED NURSING,Casa de Salud,5,Privado - Lucrativo - Corporación,Medicare / 40-5028,"CALLE SAN COSME , REPARTO SANLUCAS , BO. CAIMITO",Teléfono: 787-708-0138,Pueblo: San Juan,,,
CASA DE SALUD SIERVAS DE MARIA DE SAN JUAN - SAN JUAN - 03-09-289,Casa de Salud,3,Privado - No Lucrativo- Asociación,,"Calle Fortaleza Núm. 1,",Teléfono: 787-724-2228,Pueblo: San Juan,,,
CENTRO DE SALUD CONDUCTUAL MENONITA - CIMA - AIBONITO - 01-04-116,Centro Comunales de Salud Mental,6,Privado - Lucrativo -Corporación,"Medicare, JOINT COMMISION","Carr. Estatal 14 Interior, Calle Sargento Gerardo Santiago",Teléfono: 787-735-6102,Pueblo: Aibonito,,,
CENTRO DE SALUD MENTAL DE ARECIBO- ARECIBO - 94-10-048,Centro Comunales de Salud Mental,1,Gobierno Estatal,"APS PLAN DE SALUD MENTAL DE LA REFORMA, APS- PLAN DE SALUD MENTAL DE LA REFORMA","Antiguo Hospital de Distrito de AreciboAve. San Luis , Carr. PR-129, Piso 3",Teléfono: 787-878-3552,Pueblo: Arecibo,,,
CENTRO SALUD MENTAL BAYAMON,Centro Comunales de Salud Mental,3,Gobierno Estatal,,"HOSPITAL REGIONAL RAMON RUIZARNAU, AVE. LAUREL STA JUANITA",Teléfono: 787-787-0224,Pueblo: Bayamón,,,
CENTRO SITA DE MAYAGUEZ,Centro Comunales de Salud Mental,2,Gobierno Estatal,Medicare,"Carretera 2, Km. 57, Bo. Sábalos",Teléfono: 787-831-2095,Pueblo: Mayagüez,,,
CENTRO DE SALUD MENTAL DE SAN PATRICIO - RIO PIEDRAS - 93-10-063,Centro Comunales de Salud Mental,5,Gobierno Estatal,,"Antiguo Hospital de Veteranos, Ave. De Diego, Puerto Nuevo",Teléfono: 787-793-1828,Pueblo: San Juan,,,
AGUADA MEDICAL CENTER,Centro de Diagnóstico y Tratamiento,28,Privado - Lucrativo - Corporación,Medicare Medicaid,CARR. 115 KM. 24.5BO. ASOMANTE,Teléfono: (787) 589-7400,Pueblo: Aguada,,,
CORPORACION DEL FONDO DEL SEGURO DEL ESTADO - AGUADILLA - 90-04-110,Centro de Diagnóstico y Tratamiento,23,Gobierno Estatal - No Lucrativo - Corporación,,"Carr. 2, Km. 126.4, Bo. Caimital,",Teléfono: 787-891-0805,Pueblo: Aguadilla,,,
"RAMEY MEDICAL GROUP, C.S.P. - AGUADILLA - 08-04-038",Centro de Diagnóstico y Tratamiento,68,Gobierno Estatal - Lucrativo - Corporación,,"Carr. #110, Km. 9.4, Bo. Malesa Alta,",Teléfono: 787-484-7228,Pueblo: Aguadilla,,,
AGUADILLA MEDICAL SERVICES - AGUADILLA - 84-04-054,Centro de Diagnóstico y Tratamiento,22,Privado - Lucrativo - Corporación,,"Carr. Núm. 2, Km. 129, Hm. 7, Bo. Victoria,",Teléfono: 787-882-7555,Pueblo: Aguadilla,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO DE AGUAS BUENAS,Centro de Diagnóstico y Tratamiento,29,Privado - No Lucrativo- Corporación,Medicaid,CALLE MUÑOZ RIVERA FINAL,Teléfono: 787-732-0145,Pueblo: Aguas Buenas,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO AñASCO,Centro de Diagnóstico y Tratamiento,32,Gobierno Municipal - Lucrativo -Corporación,,Carr. 402 Km. 1.8Bo. Marías,Teléfono: 787-826-8082,Pueblo: Añasco,,,
CDT DOCTORS' CENTER ARECIBO - ARECIBO - 82-04-450,Centro de Diagnóstico y Tratamiento,39,Privado - Lucrativo - Corporación,,"Carr. PR-2, Km. 80.1, Bo. San Daniel,",Teléfono: 878-0000,Pueblo: Arecibo,,,
METRO PAVIA CLINIC- ARECIBO -95-04-061,Centro de Diagnóstico y Tratamiento,41,Privado - Lucrativo -Corporación,,"Carr. 129, Ext. Bo. Victor Rojas IISector Industrial",Teléfono: 787-762-5970,Pueblo: Arecibo,,,
CDT DR. JOSE A. MARRERO NIEVES-90-04-166 - ARECIBO (Tiene otro file nuevo),Centro de Diagnóstico y Tratamiento,137,Privado - Lucrativo - Individual,Medicare,CALLE 4 NUM 53 Y 54URB. ARECIBO GARDENS 00612,Teléfono: 878-5534,Pueblo: Arecibo,,,
CDT DE VILLA LOS SANTOS - ARECIBO - 81-04-052,Centro de Diagnóstico y Tratamiento,115,Privado - Lucrativo - Corporación,,"Calle 16 V-1, Villa Los Santos,",Teléfono: 787-878-0000,Pueblo: Arecibo,,,
CORP. FONDO SEGURO ESTADO - ARECIBO - 89-04-105,Centro de Diagnóstico y Tratamiento,125,Gobierno Estatal,,Carr. #2 Ave. Miramar km. 78.7,Teléfono: 787-878-5757,Pueblo: Arecibo,,,
CDT POLICLINICA FAMILIAR FACTOR - ARECIBO - 91-04-044,Centro de Diagnóstico y Tratamiento,136,Privado - Lucrativo - Corporación,,"Carr. 2, Km. 65.6, Bo. Factor I",Teléfono: 787-881-9788,Pueblo: Arecibo,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO - POLICLINICA SAN PEDRO - ARROYO - 99-04-039,Centro de Diagnóstico y Tratamiento,12,Privado - Lucrativo - Corporación,Medicaid,Calle Morse #211,Teléfono: 787-839-3980,Pueblo: Arroyo,,,
CENTRO DE SALUD FAMILIAR DR. JULIO PARMIERI FERRI - ARROYO - 91-04-169,Centro de Diagnóstico y Tratamiento,72,Privado - No Lucrativo - Corporación,Medicare,Calle Morse Esqina Valentina,Teléfono: 787-721-4050,Pueblo: Arroyo,,,
CDT TMG MEDICAL GROUP C.S.P. - BARCELONETA - 83-04-050,Centro de Diagnóstico y Tratamiento,85,Privado - Lucrativo - Corporación,,"Calle Tomás Dávila Núm. 1,",Teléfono: 787-846-4412,Pueblo: Barceloneta,,,
"ATLANTIC MEDICAL CENTER, INC. - BARCELONETA - 99-04-144",Centro de Diagnóstico y Tratamiento,79,Privado - No Lucrativo - Corporación,,"Carr. 2, km. 57.8, Sector Cruze Dávila",Teléfono: 787-846-4412,Pueblo: Barceloneta,,,
CENTRO DE SALUD INTEGRAL EN BARRANQUITAS - BARRANQUITAS - 90-04-184,Centro de Diagnóstico y Tratamiento,127,Privado - No Lucrativo- Corporación,Medicare,Calle Barceló Núm.53 Carr. 156,Teléfono: (787)869-5900,Pueblo: Barranquitas,,,
BAYAMON HEALTH CENTER DR. JOSE RAMON SELVA - BAYAMON - 96-04-002,Centro de Diagnóstico y Tratamiento,16,Privado - No Lucrativo- Corporación,Medicare,"Calle Manuel F. Rossy, Esq. Isabel II",Teléfono: 787-995-1900,Pueblo: Bayamon,,,
CORPORACIÓN FONDO SEGURO ESTADO,Centro de Diagnóstico y Tratamiento,126,Gobierno Estatal,,"Carr. Estatal Núm. 2, Km. 8.5, Bo. Juan Sanchez",Teléfono: 787-782-8250,Pueblo: Bayamon,,,
"CDT BELLA VISTA HEALTH CENTER, CSP -BAYAMON - 08-04-087",Centro de Diagnóstico y Tratamiento,91,Privado - Lucrativo - Corporación,,"Urb. Bella Vista, Marginal 167, AD-10",Teléfono: 787-637-2295,Pueblo: Bayamon,,,
CENTRO DE SERVICIOS MEDICOS INTEGRADOS - CDT - BAYAMON - 99-04-046,Centro de Diagnóstico y Tratamiento,92,Privado - Lucrativo - Corporación,,Calle Santa Cruz #59,Teléfono: 787-778-2100,Pueblo: Bayamon,,,
METRO PAVIA CLINIC BAYAMON -99-04-029,Centro de Diagnóstico y Tratamiento,77,Privado - Lucrativo -Corporación,"Medicare, Medicaid, JCAHO",Calle García Núm. 8 y 9,Teléfono: 787-780-6536,Pueblo: Bayamon,,,
"CDT G.M.S.P., INC. - BAYAMON - 99-04-007",Centro de Diagnóstico y Tratamiento,94,Privado - Lucrativo -Corporación,,Calle Santa Cruz B-7,Teléfono: 787-787-6804,Pueblo: Bayamon,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO METROPOLITANO DE CABO ROJO - CABO ROJO,Centro de Diagnóstico y Tratamiento,13,Gobierno Estatal - Lucrativo - Corporación,,Calle Muños Rivera #108,Teléfono: 787-762-5970,Pueblo: Cabo Rojo,,,
CENTRO AMBULATORIO HIMA SAN PABLO CAGUAS - CAGUAS - 87-12-087,Centro de Diagnóstico y Tratamiento,108,Privado - Lucrativo - Corporación,"Medicare, JCAHO, DEPARTAMENTO DE SALUD",Muñoz Rivera 1-A,Teléfono: 787-704-3434,Pueblo: Caguas,,,
CDT ATENCION MEDICA INMEDIATA -CAGUAS - 97-04-067,Centro de Diagnóstico y Tratamiento,1,Gobierno Municipal -Lucrativo -Corporación,,"Calle Troche #2, Bo. Pueblo",Teléfono: (787) 286-6060,Pueblo: Caguas,,,
CORPORACION DEL FONDO DEL SEGURO DEL ESTADO - DISPENSARIO REGIONAL DE CAGUAS - CAGUAS - 89-04-104,Centro de Diagnóstico y Tratamiento,117,Gobierno Estatal - No Lucrativo - Corporación,,Ave.. Muñoz Marín (al lado Urb. Santa Juana y Res.Villa Blanca).,Teléfono: 787-746-2010,Pueblo: Caguas,,,
"CAMUY HEALTH SERVICES, INC. - CAMUY 93-04-019",Centro de Diagnóstico y Tratamiento,33,Privado - No Lucrativo- Corporación,Medicare,Ave. Muñoz Rivera Núm. 63,Teléfono: 787-262-1045,Pueblo: Camuy,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO DE CANOVANAS - CANOVANAS - 89-04-148,Centro de Diagnóstico y Tratamiento,69,Gobierno Municipal,,"Calle Corchado Final,",Teléfono: 787-887-3394,Pueblo: Canóvanas,,,
POLICLINICA DR. SALVADOR RIBOT RUIZ- CAROLINA - 01-04-152,Centro de Diagnóstico y Tratamiento,141,Privado - Lucrativo - Corporación,"BOTIQUIN 15-B-0233, CERT. SALUD CS-13-039, PRODUCTOS BIOLOGICOS 4465-13","RD 857, Km. 0 Hm. 4, Bo. Canovanilla,",Teléfono: 787-776-3840,Pueblo: Carolina,,,
CORPORACION FONDO SEGURO ESTADO CDT REGIONAL DE CAROLINA - CAROLINA - 90-04-073,Centro de Diagnóstico y Tratamiento,111,Gobierno Estatal - No Lucrativo - Corporación,,"Carr. PR 3, Bo. San Antón, Sector Comunidad Escorial,",Teléfono: 787-757-6850,Pueblo: Carolina,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO METROPOLITAN COMMUNITY CLINIC - CAROLINA - 04-150,Centro de Diagnóstico y Tratamiento,52,Privado - Lucrativo - Corporación,,"Carr. PR #3 - Km. 13.4 - Intersección Carr. PR 857,",,Pueblo: Carolina,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO DOCTORES VILLALOBOS -CAROLINA - 83-04-194,Centro de Diagnóstico y Tratamiento,88,Gobierno Municipal - Lucrativo - Corporación,"Medicare, Medicaid","Ave. Manuel Fernández Juncos, Esq. Molinillo",Teléfono: 787-768-1365,Pueblo: Carolina,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO EULALIA KUILAN - CATAÑO - 90-04-192,Centro de Diagnóstico y Tratamiento,34,Gobierno Municipal,,"Carretera PR 5, Km. 2.8",Teléfono: 787 788-0404,Pueblo: Cataño,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO DE CAYEY - CAYEY - 91-04-075,Centro de Diagnóstico y Tratamiento,30,Gobierno Municipal,,"Calle Luis Barreras Núm. 174,",Teléfono: 787 738-3011,Pueblo: Cayey,,,
CORPORACION DEL FONDO SEGURO DEL ESTADO - CDT - CAYEY - 93-04-106,Centro de Diagnóstico y Tratamiento,65,Gobierno Estatal,,"Edificio1, Carr. 14, Km. 723, Bo. Montellano,",Teléfono: 787-738-4687,Pueblo: Cayey,,,
CIALES PRIMARY HEALTH CARE SERVICES - CIALES - 93-04-125,Centro de Diagnóstico y Tratamiento,36,Privado - No Lucrativo- Corporación,JCAHO,"Carr. 149, Km. 12, Hm. 3",Teléfono: 787-871-0601,Pueblo: Cayey,,,
"CLINICAS DE CUIDADO MÉDICO, INC. -CIALES - 99-04-039",Centro de Diagnóstico y Tratamiento,84,Privado - Lucrativo- Corporación,,"Calle Hospital 4,",Teléfono: 787-871-1098,Pueblo: Ciales,,,
CENTRO DE MEDICINA ESPECIALIZADA - CIDRA - 88-04-108,Centro de Diagnóstico y Tratamiento,122,Privado - Lucrativo - Corporación,,"Calle Barceló #11, Esq. Carretera 173,",Teléfono: 787-739-4340,Pueblo: Cidra,,,
CENTRO DE SALUD FAMILIAR DR. LUIS ARAMBURU - CIDRA - 86-04-152,Centro de Diagnóstico y Tratamiento,135,Privado -No  Lucrativo - Corporación,"Medicare, Medicaid, JCAHO","Ave. El Jíbaro, Bo. Bayamón",Teléfono: 787-739-6341,Pueblo: Cidra,,,
CENTRO DE DIAGNOSTICO Y TRATAMIENTO DE COAMO - COAMO - 88-04-270,Centro de Diagnóstico y Tratamiento,89,Gobierno Estatal - Lucrativo - Corporación,Medicare,"Ave. Luis Muñoz Marín, Carr. 138",Teléfono: 787-843-9263,Pueblo: Coamo,,,
COMERIO MEDICAL CENTER - COMERIO - 96-04-218,Centro de Diagnóstico y Tratamiento,96,Gobierno Municipal,,Carretera Estatal #778 Km. 0.9,Teléfono: 787-875-3136,Pueblo: Comerío,,,
